id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Mirage,Sundust Collective,country,nostalgic,0.55,96,0.72,0.65,0.68
12,Broken Signal,Static Hymn,metal,angry,0.97,174,0.22,0.58,0.04
13,Velvet Underground,Marisol Keys,r&b,romantic,0.61,85,0.88,0.76,0.43
14,Last Train Home,The Hollow Pines,folk,melancholic,0.33,104,0.38,0.47,0.91
15,Neon Carnival,Drop Circuit,edm,euphoric,0.95,128,0.90,0.95,0.02
16,Rainy Season,Blue Terrain,blues,sad,0.44,68,0.29,0.43,0.77
17,Cloud Atlas,Somnium,classical,dreamy,0.25,58,0.75,0.31,0.95
18,Corner Store Kings,G. Waverly,hip-hop,confident,0.78,94,0.66,0.85,0.11
19,Lose Yourself,Eminem,hip-hop,intense,0.9,171,0.35,0.55,0.0
20,Nuthin' but a 'G' Thang,Dr. Dre ft. Snoop Dogg,hip-hop,chill,0.65,95,0.85,0.8,0.02
21,California Love,2Pac ft. Dr. Dre,hip-hop,euphoric,0.88,92,0.94,0.77,0.0
22,Hey Ya!,OutKast,hip-hop,happy,0.83,160,0.96,0.7,0.0
23,In Da Club,50 Cent,hip-hop,confident,0.84,90,0.82,0.86,0.0
24,Ms. Jackson,OutKast,hip-hop,nostalgic,0.6,84,0.5,0.65,0.01
25,Gold Digger,Kanye West ft. Jamie Foxx,hip-hop,confident,0.78,93,0.68,0.8,0.0
26,HUMBLE.,Kendrick Lamar,hip-hop,intense,0.78,150,0.42,0.9,0.0
27,Sicko Mode,Travis Scott,hip-hop,intense,0.73,155,0.35,0.77,0.0
28,Mo Money Mo Problems,The Notorious B.I.G. ft. Puff Daddy & Mase,hip-hop,euphoric,0.85,114,0.9,0.88,0.0
29,Juicy,The Notorious B.I.G.,hip-hop,nostalgic,0.7,94,0.88,0.82,0.0
30,"Shook Ones, Pt. II",Mobb Deep,hip-hop,moody,0.68,94,0.25,0.7,0.0
31,C.R.E.A.M.,Wu-Tang Clan,hip-hop,melancholic,0.55,91,0.15,0.6,0.0
32,Still D.R.E.,Dr. Dre ft. Snoop Dogg,hip-hop,confident,0.75,93,0.78,0.8,0.0
33,Gin and Juice,Snoop Dogg,hip-hop,relaxed,0.58,95,0.75,0.85,0.0
34,Work It,Missy Elliott,hip-hop,confident,0.8,100,0.7,0.88,0.0
35,Jesus Walks,Kanye West,hip-hop,focused,0.65,85,0.28,0.45,0.01
36,Alright,Kendrick Lamar,hip-hop,confident,0.72,110,0.65,0.6,0.0
37,The Real Slim Shady,Eminem,hip-hop,angry,0.8,104,0.6,0.85,0.0
38,Drop It Like It's Hot,Snoop Dogg ft. Pharrell Williams,hip-hop,chill,0.6,92,0.7,0.88,0.0
39,Billie Jean,Michael Jackson,r&b,confident,0.85,117,0.65,0.92,0.03
40,Superstition,Stevie Wonder,r&b,happy,0.88,100,0.96,0.77,0.1
41,What's Going On,Marvin Gaye,r&b,melancholic,0.45,101,0.35,0.6,0.25
42,Respect,Aretha Franklin,r&b,confident,0.75,114,0.9,0.68,0.2
43,Crazy in Love,Beyoncé ft. Jay-Z,r&b,euphoric,0.82,99,0.78,0.75,0.01
44,Yeah!,Usher ft. Lil Jon & Ludacris,r&b,confident,0.88,105,0.6,0.85,0.0
45,Umbrella,Rihanna ft. Jay-Z,r&b,confident,0.65,87,0.55,0.7,0.01
46,Uptown Funk,Mark Ronson ft. Bruno Mars,r&b,happy,0.9,115,0.92,0.85,0.02
47,Blinding Lights,The Weeknd,r&b,confident,0.8,171,0.33,0.51,0.0
48,Snooze,SZA,r&b,romantic,0.5,140,0.58,0.7,0.05
49,Best Part,H.E.R. ft. Daniel Caesar,r&b,dreamy,0.35,107,0.45,0.55,0.4
50,Thinkin Bout You,Frank Ocean,r&b,moody,0.4,120,0.3,0.65,0.15
51,Untitled (How Does It Feel),D'Angelo,r&b,romantic,0.48,78,0.5,0.58,0.22
52,On & On,Erykah Badu,r&b,chill,0.42,80,0.65,0.72,0.3
53,If I Ain't Got You,Alicia Keys,r&b,romantic,0.4,144,0.38,0.35,0.6
54,All of Me,John Legend,r&b,romantic,0.28,120,0.25,0.4,0.9
55,I'll Make Love to You,Boyz II Men,r&b,romantic,0.3,66,0.55,0.3,0.5
56,No Scrubs,TLC,r&b,confident,0.6,93,0.7,0.8,0.05
57,Say My Name,Destiny's Child,r&b,moody,0.55,139,0.45,0.75,0.02
58,Real Love,Mary J. Blige,r&b,happy,0.7,100,0.8,0.78,0.1
59,Meeresrauschen zum Einschlafen,Meeresrauschen,ambient,angry,1.0,87,0.0,0.13,0.37
60,"Una Mattina (from ""The Intouchables"")",Jacob's Piano,ambient,melancholic,0.08,133,0.1,0.35,0.98
61,Calm,Nature Sounds;Nature Sounds Nature Music;Nature Sound Collection,ambient,angry,1.0,132,0.0,0.2,0.94
62,Cold,Novo Amor,ambient,melancholic,0.3,67,0.04,0.41,0.79
63,Kiki’s Song,Mree,ambient,chill,0.43,124,0.38,0.53,0.83
64,Sugar Water,Flower Face,ambient,happy,0.6,162,0.83,0.49,0.6
65,Cristal Silence Section 5,Robert Haig Coxon,ambient,melancholic,0.05,65,0.08,0.24,0.91
66,Still Life,Alexis Ffrench,ambient,melancholic,0.04,167,0.15,0.41,0.99
67,Pink Noise & Ocean,Ocean Sounds;BodyHI;Ocean Waves For Sleep,ambient,moody,0.78,124,0.01,0.17,0.14
68,Lamentation,Yiruma,ambient,melancholic,0.01,74,0.18,0.44,0.99
